total lines: 169
1) line size: 6
  47) x: 167  y: 58
  48) x: 167  y: 57
  49) x: 167  y: 56
  50) x: 167  y: 55
  51) x: 167  y: 54
  52) x: 167  y: 53
  53) x: 166  y: 52
  54) x: 166  y: 51
  55) x: 166  y: 50
  56) x: 166  y: 49
  57) x: 166  y: 48
  58) x: 166  y: 47
  59) x: 166  y: 46
  60) x: 166  y: 45
  61) x: 167  y: 43
  62) x: 168  y: 42
  63) x: 170  y: 41
  64) x: 172  y: 41
  65) x: 174  y: 41
  66) x: 176  y: 41
  67) x: 178  y: 41
  68) x: 180  y: 41
  69) x: 179  y: 41
  70) x: 179  y: 40
